date,symbol,rank,score,price,ret5,ret10,ret15,vol5
2026-08-19,HINDZINC,208,0.1031,558.0,-4.88,-0.87,5.9,1.4378
2026-08-19,LTM,209,0.0061,4562.2,-5.93,0.07,5.87,1.2004
2026-08-19,POLYCAB,210,-0.0339,9139.0,0.15,-0.4,0.19,1.7075
2026-08-19,SUZLON,211,-0.1592,47.78,0.59,-0.48,-0.5,2.4455
2026-08-19,TEJASNET,212,-0.1886,519.3,-2.68,-2.74,5.06,1.9409
2026-08-19,ITCHOTELS,213,-0.219,166.36,-1.49,0.69,0.56,1.0693
2026-08-19,CASTROLIND,214,-0.2209,187.55,-3.04,0.92,1.75,1.6631
2026-08-19,DCMSHRIRAM,215,-0.2617,1026.4,1.93,-0.03,-2.24,1.303
2026-08-19,PATANJALI,216,-0.2656,351.65,-0.38,-2.29,2.54,0.5194
2026-08-19,MRF,217,-0.2871,133015.0,-0.62,-0.53,0.75,1.4099
2026-08-19,KPITTECH,218,-0.3529,609.0,-3.01,-1.66,4.07,1.6951
2026-08-19,SAIL,219,-0.4236,170.2,-1.62,-1.93,2.62,2.1859
2026-08-19,RITES,220,-0.5678,218.49,-3.61,1.09,1.96,0.989
2026-08-19,JSWINFRA,221,-0.5787,328.65,-3.86,-0.18,3.28,1.3124
2026-08-19,TECHNOE,222,-0.593,1002.45,-5.25,1.73,1.06,4.1501
2026-08-19,BAJAJFINSV,223,-0.6114,2005.0,-0.81,-4.34,4.81,0.5541
2026-08-19,MPHASIS,224,-0.6269,2432.0,-3.87,2.18,0.77,1.4708
2026-08-19,LTTS,225,-0.7052,3528.5,-1.53,-1.02,0.87,2.3841
2026-08-19,GICRE,226,-0.7203,355.5,0.77,-0.71,-1.03,1.3563
2026-08-19,VTL,227,-0.7884,605.25,-0.5,2.87,-3.66,1.6361
2026-08-19,CDSL,228,-0.8256,1340.6,-0.48,0.04,-0.33,0.9265
2026-08-19,BAJFINANCE,229,-0.8417,1094.3,0.09,-4.76,4.38,0.3458
2026-08-19,ONGC,230,-0.8498,239.5,0.02,-1.03,0.25,0.9005
2026-08-19,UNITDSPR,231,-0.9863,1520.9,-1.8,-0.27,0.8,1.2794
2026-08-19,ADANIENT,232,-0.9922,3002.5,0.23,-1.56,0.01,1.3274
2026-08-19,NMDC,233,-0.9936,84.19,-1.47,-0.01,0.32,1.1721
2026-08-19,CRISIL,234,-1.0515,4488.3,-3.17,1.43,0.04,1.613
2026-08-19,ANURAS,235,-1.0757,1210.5,0.1,-0.32,-0.65,0.8091
2026-08-19,HDFCAMC,236,-1.0905,2525.0,0.4,-1.21,-0.24,0.9721
2026-08-19,ABREL,237,-1.1045,1402.1,0.64,-2.09,0.14,1.1954
2026-08-19,GALLANTT,238,-1.2082,582.95,-1.4,-7.11,6.52,1.644
2026-08-19,BELRISE,239,-1.2347,236.73,-6.79,-1.5,3.36,3.9914
2026-08-19,NAVA,240,-1.2415,558.9,-1.8,-2.24,1.2,2.2914
2026-08-19,EIDPARRY,241,-1.2423,780.6,-1.0,-2.8,1.63,1.7464
2026-08-19,STARHEALTH,242,-1.4031,584.25,1.62,-1.41,-1.32,0.7904
2026-08-19,ABDL,243,-1.4949,612.6,-1.16,-1.65,-1.24,2.7083
2026-08-19,CANFINHOME,244,-1.5524,814.35,-0.73,-0.32,0.19,0.5533
2026-08-19,INOXWIND,245,-1.6225,74.95,0.74,-5.38,-1.3,3.6627
2026-08-19,CENTRALBK,246,-1.6639,31.02,-0.55,-0.67,0.42,0.4788
2026-08-19,IDFCFIRSTB,247,-1.6957,84.76,0.58,-1.44,-1.15,1.1883
2026-08-19,SRF,248,-1.7151,2616.0,0.23,-1.1,-0.78,0.9586
2026-08-19,AIIL,249,-1.7445,551.5,-5.92,0.49,-0.04,3.132
2026-08-19,PERSISTENT,250,-1.7547,5442.5,-1.69,-1.03,0.26,1.4001
2026-08-19,PGEL,251,-1.7968,597.0,-3.08,-2.45,1.97,1.9827
2026-08-19,TATAELXSI,252,-1.8547,3662.0,-3.5,-2.01,2.24,1.7644
2026-08-19,M&MFIN,253,-1.9573,388.9,-5.68,-4.09,7.13,1.3458
